주차장관리번호	주차장명	경도	위도	주차장구분	주차장유형	주차장지번주소	주차장도로명주소	주차구획수	운영요일	평일운영시작시각	평일운영종료시각	토요일운영시작시각	토요일운영종료시각	공휴일운영시작시각	공휴일운영종료시각	요금정보	관리기관명	지역구분	지역구분_sub	지역중심좌표(X좌표)	지역중심좌표(Y좌표)	지역코드	연락처	수정일자
10144	북부시장	129.369863	36.035458	공영	노상	경상북도 포항시 북구 죽도동	경상북도 포항시 북구 삼호로	17	평일	9:00	19:00	9:00	19:00	9:00	19:00	유료	경상북도 포항시시설관리공단	경상북도	포항시 북구	129.2336813	36.16517719	47113	054-280-9420	2015-09-01
10145	오거리	129.369863	36.035458	공영	노외	경상북도 포항시 북구 죽도동	경상북도 포항시 북구 중앙로	171	연중	6:00	22:00	6:00	22:00	6:00	22:00	유료	경상북도 포항시시설관리공단	경상북도	포항시 북구	129.2336813	36.16517719	47113	054-280-9420	2015-09-01
10146	죽도어시장	129.369863	36.035458	공영	노외	경상북도 포항시 북구 죽도동	경상북도 북구 칠성로	169	연중	7:00	22:00	7:00	22:00	7:00	22:00	유료	경상북도 포항시시설관리공단	경상북도	포항시 북구	129.2336813	36.16517719	47113	054-280-9420	2015-09-01
10147	화봉동 1460-4	129.369381	35.5908609	공영	노외	울산광역시 북구 화봉동 1460-4		8	평일+토요일+공휴일	0:00	0:00	0:00	0:00	0:00	0:00	무료	울산광역시 북구청	울산광역시	북구	129.3798015	35.6100624	31200	052-241-7964	2016-09-13
10148	효성학원 뒤	129.369256	35.583628	공영	노상	울산광역시 북구 연암동 1095-6		15	평일+토요일+공휴일	0:00	0:00	0:00	0:00	0:00	0:00	무료	울산광역시 북구청	울산광역시	북구	129.3798015	35.6100624	31200	052-241-7964	2016-09-13
10149	매곡3산업단지(3)	129.368897	35.6418059	공영	노외	울산광역시 북구 매곡동 887-4		16	평일+토요일+공휴일	0:00	0:00	0:00	0:00	0:00	0:00	무료	울산광역시 북구청	울산광역시	북구	129.3798015	35.6100624	31200	052-241-7964	2016-09-13
10150	연암	129.368617	35.584028	공영	노외	울산광역시 북구 연암동 322-2		8	평일+토요일+공휴일	0:00	0:00	0:00	0:00	0:00	0:00	무료	울산광역시 북구청	울산광역시	북구	129.3798015	35.6100624	31200	052-241-7964	2016-09-13
10151	대해시장	129.3685749	36.0188005	공영	노외	경상북도 포항시 남구 해도동	경상북도 포항시 남구 문예로	21	평일	13:00	21:30	13:00	21:30	13:00	21:30	유료	경상북도 포항시시설관리공단	경상북도	포항시 남구	129.4376526	35.95814843	47111	054-280-9420	2015-09-01
10152	홍길동숯불갈비	129.368542	35.5811191	공영	노상	울산광역시 북구 연암동 1093-8		27	평일+토요일+공휴일	0:00	0:00	0:00	0:00	0:00	0:00	무료	울산광역시 북구청	울산광역시	북구	129.3798015	35.6100624	31200	052-241-7964	2016-09-13
10153	울산아파트형공장	129.368487	35.5672712	공영	노외	울산광역시 북구 효문동 818		46	평일+토요일+공휴일	0:00	0:00	0:00	0:00	0:00	0:00	무료	울산광역시 북구청	울산광역시	북구	129.3798015	35.6100624	31200	052-241-7964	2016-09-13
10154	화봉	129.367835	35.5885756	공영	노외	울산광역시 북구 화봉동 450-1		25	평일+토요일+공휴일	0:00	0:00	0:00	0:00	0:00	0:00	무료	울산광역시 북구청	울산광역시	북구	129.3798015	35.6100624	31200	052-241-7964	2016-09-13
10155	매곡3산업단지(1)	129.367819	35.6393132	공영	노외	울산광역시 북구 매곡동 884-5		109	평일+토요일+공휴일	0:00	0:00	0:00	0:00	0:00	0:00	무료	울산광역시 북구청	울산광역시	북구	129.3798015	35.6100624	31200	052-241-7964	2016-09-13
10156	상방공원 이면	129.367766	35.5839816	공영	노상	울산광역시 북구 연암동 1095-8		63	평일+토요일+공휴일	0:00	0:00	0:00	0:00	0:00	0:00	무료	울산광역시 북구청	울산광역시	북구	129.3798015	35.6100624	31200	052-241-7964	2016-09-13
10157	상방마을이면	129.367766	35.5839816	공영	노상	울산광역시 북구 연암동 1095-8		4	평일+토요일+공휴일	0:00	0:00	0:00	0:00	0:00	0:00	무료	울산광역시 북구청	울산광역시	북구	129.3798015	35.6100624	31200	052-241-7964	2016-09-13
10158	매곡3산업단지(2)	129.367521	35.6382108	공영	노외	울산광역시 북구 매곡동 885-7		34	평일+토요일+공휴일	0:00	0:00	0:00	0:00	0:00	0:00	무료	울산광역시 북구청	울산광역시	북구	129.3798015	35.6100624	31200	052-241-7964	2016-09-13
10159	화봉 노상	129.367397	35.5879444	공영	노상	울산광역시 북구 연암동 363-6		18	평일+토요일+공휴일	8:00	20:00	8:00	20:00	0:00	0:00	혼합	울산광역시 북구청	울산광역시	북구	129.3798015	35.6100624	31200	052-241-7964	2016-09-13
10160	연암노상	129.367329	35.5886125	공영	노상	울산광역시 북구 화봉동 449-6		17	평일+토요일+공휴일	8:00	20:00	8:00	20:00	0:00	0:00	혼합	울산광역시 북구청	울산광역시	북구	129.3798015	35.6100624	31200	052-241-7964	2016-09-13
10161	벽산반점 앞	129.366576	35.584014	공영	노상	울산광역시 북구 연암동 376-5		33	평일+토요일+공휴일	0:00	0:00	0:00	0:00	0:00	0:00	무료	울산광역시 북구청	울산광역시	북구	129.3798015	35.6100624	31200	052-241-7964	2016-09-13
10162	상방	129.365904	35.582171	공영	노외	울산광역시 북구 연암동 435-4		6	평일+토요일+공휴일	0:00	0:00	0:00	0:00	0:00	0:00	무료	울산광역시 북구청	울산광역시	북구	129.3798015	35.6100624	31200	052-241-7964	2016-09-13
10163	영덕군청주차장	129.365267	36.4150343	공영	부설	경상북도 영덕군 영덕읍 남석리310-3	경상북도 영덕군 영덕읍 군청길116	307	평일+토요일+공휴일	0:00	0:00	0:00	0:00	0:00	0:00	무료	경상북도 영덕군청	경상북도	영덕군	129.3173817	36.48249776	47770	054-730-6087	2016-06-23
10164	매곡2산업단지	129.364726	35.6512136	공영	노외	울산광역시 북구 매곡동 875-3		27	평일+토요일+공휴일	0:00	0:00	0:00	0:00	0:00	0:00	무료	울산광역시 북구청	울산광역시	북구	129.3798015	35.6100624	31200	052-241-7964	2016-09-13
10165	성원아파트 이면	129.364581	35.5867022	공영	노상	울산광역시 북구 연암동 1097-2		23	평일+토요일+공휴일	0:00	0:00	0:00	0:00	0:00	0:00	무료	울산광역시 북구청	울산광역시	북구	129.3798015	35.6100624	31200	052-241-7964	2016-09-13
10166	벽산아파트 이면	129.364545	35.5850901	공영	노상	울산광역시 북구 연암동 1097-5		34	평일+토요일+공휴일	0:00	0:00	0:00	0:00	0:00	0:00	무료	울산광역시 북구청	울산광역시	북구	129.3798015	35.6100624	31200	052-241-7964	2016-09-13
10167	상방복개천 노상	129.364144	35.5815839	공영	노상	울산광역시 북구 연암동 417-4		78	평일+토요일+공휴일	8:00	20:00	8:00	20:00	0:00	0:00	혼합	울산광역시 북구청	울산광역시	북구	129.3798015	35.6100624	31200	052-241-7964	2016-09-13
10168	매곡1산업단지	129.363534	35.6474797	공영	노외	울산광역시 북구 매곡동 349-4		141	평일+토요일+공휴일	0:00	0:00	0:00	0:00	0:00	0:00	무료	울산광역시 북구청	울산광역시	북구	129.3798015	35.6100624	31200	052-241-7964	2016-09-13
10169	화봉동422-1	129.361981	35.5928172	공영	노외	울산광역시 북구 화봉동 422-1		6	평일+토요일+공휴일	0:00	0:00	0:00	0:00	0:00	0:00	무료	울산광역시 북구청	울산광역시	북구	129.3798015	35.6100624	31200	052-241-7964	2016-09-13
10170	대도	129.3611681	36.0150538	공영	노외	경상북도 포항시 남구 대도동	경상북도 포항시 남구 송림로길	37	평일	11:00	19:30	11:00	19:30	11:00	19:30	유료	경상북도 포항시시설관리공단	경상북도	포항시 남구	129.4376526	35.95814843	47111	054-280-9420	2015-09-01
10171	화봉토속정 노상	129.360842	35.5867034	공영	노상	울산광역시 북구 화봉동 957-11		15	평일+토요일+공휴일	0:00	0:00	0:00	0:00	0:00	0:00	무료	울산광역시 북구청	울산광역시	북구	129.3798015	35.6100624	31200	052-241-7964	2016-09-13
10172	일취월장학원 노상	129.360761	35.5907146	공영	노상	울산광역시 북구 화봉동 957-5		21	평일+토요일+공휴일	0:00	0:00	0:00	0:00	0:00	0:00	무료	울산광역시 북구청	울산광역시	북구	129.3798015	35.6100624	31200	052-241-7964	2016-09-13
10173	동울산세무소 이면	129.359707	35.5867437	공영	노상	울산광역시 북구 화봉동 957-10		20	평일+토요일+공휴일	0:00	0:00	0:00	0:00	0:00	0:00	무료	울산광역시 북구청	울산광역시	북구	129.3798015	35.6100624	31200	052-241-7964	2016-09-13
10174	남사고유적지 공영주차장	129.3595101	36.9565476	공영	노외	경상북도 울진군 근남면 수곡리 387-2	경상북도 울진군 누금길 14-13	75	평일+토요일+공휴일							무료	경상북도 울진군	경상북도	울진군	129.312205	36.90408324	47930	054-789-6391	2015-09-30
10175	호계동 375	129.357633	35.627358	공영	노외	울산광역시 북구 호계동 375		8	평일+토요일+공휴일	0:00	0:00	0:00	0:00	0:00	0:00	무료	울산광역시 북구청	울산광역시	북구	129.3798015	35.6100624	31200	052-241-7964	2016-09-13
10176	창평공영주차장	129.357129	35.6207092	공영	노외	울산광역시 북구 창평동 1052-1		90	평일+토요일+공휴일	0:00	0:00	0:00	0:00	0:00	0:00	무료	울산광역시 북구청	울산광역시	북구	129.3798015	35.6100624	31200	052-241-7964	2016-09-13
10177	상도	129.3569611	36.0140346	공영	노외	경상북도 포항시 남구 상도동	경상북도 포항시 남구 상도로	20	평일	13:00	21:30	13:00	21:30	13:00	21:30	유료	경상북도 포항시시설관리공단	경상북도	포항시 남구	129.4376526	35.95814843	47111	054-280-9420	2015-09-01
10178	호계동 676-8	129.356635	35.6241969	공영	노외	울산광역시 북구 호계동 676-8		5	평일+토요일+공휴일	0:00	0:00	0:00	0:00	0:00	0:00	무료	울산광역시 북구청	울산광역시	북구	129.3798015	35.6100624	31200	052-241-7964	2016-09-13
10179	중산산업단지1	129.356461	35.6547274	공영	노외	울산광역시 북구 중산동 1253-4		30	평일+토요일+공휴일	0:00	0:00	0:00	0:00	0:00	0:00	무료	울산광역시 북구청	울산광역시	북구	129.3798015	35.6100624	31200	052-241-7964	2016-09-13
10180	번영교밑	129.356432	35.54474	공영	노외	울산광역시 남구 삼산동 34-1		71	평일+토요일+공휴일	10:00	18:00	10:00	18:00	10:00	18:00	무료	울산광역시남구도시관리공단	울산광역시	남구	129.3281901	35.51605166	31140	052-226-0945	2016-03-04
10181	호계동 719-3	129.355708	35.6260802	공영	노외	울산광역시 북구 호계동 719-3		16	평일+토요일+공휴일	0:00	0:00	0:00	0:00	0:00	0:00	무료	울산광역시 북구청	울산광역시	북구	129.3798015	35.6100624	31200	052-241-7964	2016-09-13
10182	호계동 283-6	129.355551	35.6286332	공영	노외	울산광역시 북구 호계동 283-6		6	평일+토요일+공휴일	0:00	0:00	0:00	0:00	0:00	0:00	무료	울산광역시 북구청	울산광역시	북구	129.3798015	35.6100624	31200	052-241-7964	2016-09-13
10183	호계시장	129.355546	35.6235514	공영	노외	울산광역시 북구 호계동 869-1		16	평일+토요일+공휴일	0:00	0:00	0:00	0:00	0:00	0:00	무료	울산광역시 북구청	울산광역시	북구	129.3798015	35.6100624	31200	052-241-7964	2016-09-13
10184	호계역1	129.355297	35.6210785	공영	노외	울산광역시 북구 호계동 842-2		245	평일+토요일+공휴일	0:00	0:00	0:00	0:00	0:00	0:00	무료	울산광역시 북구청	울산광역시	북구	129.3798015	35.6100624	31200	052-241-7964	2016-09-13
10185	중산산업단지2(1)	129.355024	35.6565486	공영	노외	울산광역시 북구 중산동 1270-3		30	평일+토요일+공휴일	0:00	0:00	0:00	0:00	0:00	0:00	무료	울산광역시 북구청	울산광역시	북구	129.3798015	35.6100624	31200	052-241-7964	2016-09-13
10186	매곡푸르지오	129.354015	35.645855	공영	노외	울산광역시 북구 매곡동 844		14	평일+토요일+공휴일	0:00	0:00	0:00	0:00	0:00	0:00	무료	울산광역시 북구청	울산광역시	북구	129.3798015	35.6100624	31200	052-241-7964	2016-09-13
10187	호계역3	129.352442	35.6253331	공영	노외	울산광역시 북구 호계동 743-2		42	평일+토요일+공휴일	0:00	0:00	0:00	0:00	0:00	0:00	무료	울산광역시 북구청	울산광역시	북구	129.3798015	35.6100624	31200	052-241-7964	2016-09-13
10188	신천동 331	129.352128	35.6319438	공영	노외	울산광역시 북구 신천동 331		15	평일+토요일+공휴일	0:00	0:00	0:00	0:00	0:00	0:00	무료	울산광역시 북구청	울산광역시	북구	129.3798015	35.6100624	31200	052-241-7964	2016-09-13
10189	중산산업단지2(2)	129.352123	35.6615249	공영	노외	울산광역시 북구 중산동 1266-4		40	평일+토요일+공휴일	0:00	0:00	0:00	0:00	0:00	0:00	무료	울산광역시 북구청	울산광역시	북구	129.3798015	35.6100624	31200	052-241-7964	2016-09-13
10190	중산산업단지2(3)	129.351943	35.6636909	공영	노외	울산광역시 북구 중산동 1263-5		40	평일+토요일+공휴일	0:00	0:00	0:00	0:00	0:00	0:00	무료	울산광역시 북구청	울산광역시	북구	129.3798015	35.6100624	31200	052-241-7964	2016-09-13
10191	호계역2	129.351816	35.625057	공영	노외	울산광역시 북구 호계동 775-6		34	평일+토요일+공휴일	0:00	0:00	0:00	0:00	0:00	0:00	무료	울산광역시 북구청	울산광역시	북구	129.3798015	35.6100624	31200	052-241-7964	2016-09-13
10192	신천공영주차장	129.349609	35.6303441	공영	노외	울산광역시 북구 신천동 344-5		55	평일+토요일+공휴일	0:00	0:00	0:00	0:00	0:00	0:00	무료	울산광역시 북구청	울산광역시	북구	129.3798015	35.6100624	31200	052-241-7964	2016-09-13
10193	남외	129.3484847	35.56962291	공영	노외		울산광역시 중구 남외동 542-5번지	49	평일+토요일+일요일+공휴일							무료	울사광역시 중구	울산광역시	중구	129.3082427	35.5710483	31110		2016-08-31
10194	산삼2	129.345858	35.53937	공영	노외	울산광역시 남구 삼산동 1627-3	울산광역시 남구 삼산로352번길9	167	평일	9:00	17:00					유료	울산광역시남구도시관리공단	울산광역시	남구	129.3281901	35.51605166	31140	052-226-0945	2016-03-04
10195	백암상가앞 공영주차장	129.3453929	36.7241124	공영	노외	경상북도 울진군 온정면 소태리 820	경상북도 울진군 소태로 23	94	평일+토요일+공휴일							무료	경상북도 울진군	경상북도	울진군	129.312205	36.90408324	47930	054-789-6391	2015-09-30
10196	병영막창거리	129.3437938	35.56956648	공영	노외		울산광역시 중구 남외동 336번지	19	평일+토요일+공휴일							유료	울사광역시 중구	울산광역시	중구	129.3082427	35.5710483	31110		2016-08-31
10197	진하해수욕장노상	129.3434023	35.38476941	공영	노상	울산광역시 울주군 서생면 진하리 315 노변	울산광역시 울주군 서생면 진하리 315 노변	125	평일+토요일+공휴일	0:00	0:00	0:00	0:00	0:00	0:00	무료	울산광역시광역시 울주군청	울산광역시	울주군	129.1868265	35.54669692	31710	052-229-7498	2016-09-12
10198	포항시청 부설주차장	129.3433898	36.0190333	공영	노외	경상북도 포항시 남구 대잠동 1001	경상북도 포항시 남구 시청로 1(대잠동)	692	연중	0:00	0:00	0:00	0:00	0:00	0:00	혼합	경상북도 포항시시설관리공단	경상북도	포항시 남구	129.4376526	35.95814843	47111	054-270-5502	2015-09-01
10199	공구상가앞	129.342917	35.53682	공영	노상	울산광역시 남구 삼산동 1591-4	울산광역시 남구 갈밭로 24	60	평일	9:00	17:00					유료	울산광역시남구도시관리공단	울산광역시	남구	129.3281901	35.51605166	31140	052-226-0945	2016-03-04
