번호	설치장소명	설치장소상세	설치시도명	설치시군구명	설치시설구분	서비스제공사명	와이파이SSID	설치연월	소재지도로명주소	소재지지번주소	관리기관명	관리기관전화번호	WGS84위도	WGS84경도	데이터기준일자
39	강북청소년문화정보도서관	3F 전자정보실	서울특별시	강북구	기타	강북구청	PublicWiFi@Gangbuk	Jan-12	서울특별시 강북구 삼양로54길 68	서울특별시 강북구 미아동 754-1	강북구청	02-901-7212	37.6230735	127.0215719	2020-06-15
40	강북청소년문화정보도서관	4F 열람실	서울특별시	강북구	기타	강북구청	PublicWiFi@Gangbuk	Jan-12	서울특별시 강북구 삼양로54길 68	서울특별시 강북구 미아동 754-1	강북구청	02-901-7212	37.6230735	127.0215719	2020-06-15
41	강북문화정보도서관	건물외부 쉼터(3F 창문)	서울특별시	강북구	기타	강북구청	PublicWiFi@Gangbuk	Jan-12	서울특별시 강북구 오현로 145	서울특별시 강북구 번동 산27-108	강북구청	02-901-7212	37.6252246	127.0362453	2020-06-15
42	솔샘문화정보도서관	3F 교육장 제1강의실	서울특별시	강북구	기타	강북구청	PublicWiFi@Gangbuk	Jan-12	서울특별시 강북구 솔샘로 177	서울특별시 강북구 삼양동 1354-4	강북구청	02-901-7212	37.6204732	127.0123959	2020-06-15
43	솔샘문화정보도서관	3F 교육장 제2강의실	서울특별시	강북구	기타	강북구청	PublicWiFi@Gangbuk	Jan-12	서울특별시 강북구 솔샘로 177	서울특별시 강북구 삼양동 1354-4	강북구청	02-901-7212	37.6204732	127.0123959	2020-06-15
44	솔샘문화정보도서관	4F 제1열람실	서울특별시	강북구	기타	강북구청	PublicWiFi@Gangbuk	Jan-12	서울특별시 강북구 솔샘로 177	서울특별시 강북구 삼양동 1354-4	강북구청	02-901-7212	37.6204732	127.0123959	2020-06-15
45	송중문화정보도서관	1F 휴게실	서울특별시	강북구	기타	강북구청	PublicWiFi@Gangbuk	Jan-12	서울특별시 강북구 도봉로20나길 6	서울특별시 강북구 미아동 138-11	강북구청	02-901-7212	37.6183108	127.0300076	2020-06-15
46	송중문화정보도서관	2F 컴퓨터공간	서울특별시	강북구	기타	강북구청	PublicWiFi@Gangbuk	Jan-12	서울특별시 강북구 도봉로20나길 6	서울특별시 강북구 미아동 138-11	강북구청	02-901-7212	37.6183108	127.0300076	2020-06-15
47	수유문화정보도서관	3F 자료실	서울특별시	강북구	기타	강북구청	PublicWiFi@Gangbuk	Jan-12	서울특별시 강북구 삼양로 299(수유1동주민센터)	서울특별시 강북구 수유동 605-412	강북구청	02-901-7212	37.6300757	127.017582	2020-06-15
48	수유문화정보도서관	4F 열람실	서울특별시	강북구	기타	강북구청	PublicWiFi@Gangbuk	Jan-12	서울특별시 강북구 삼양로 299(수유1동주민센터)	서울특별시 강북구 수유동 605-412	강북구청	02-901-7212	37.6300757	127.017582	2020-06-15
49	벌리어린이공원	공원내 CCTV 시설물	서울특별시	강북구	지역문화시설	서울특별시	PublicWiFi@Seoul	Jan-14	서울특별시 강북구 번동 240	서울특별시 강북구 번동 240	서울특별시	02-901-7212	37.6275651	127.0443356	2020-06-15
50	벌리어린이공원	공원내 CCTV 시설물	서울특별시	강북구	지역문화시설	서울특별시	PublicWiFi@Seoul	Jan-14	서울특별시 강북구 번동 240	서울특별시 강북구 번동 240	서울특별시	02-901-7212	37.6274285	127.0444271	2020-06-15
51	응달마을어린이공원	공원내 CCTV 시설물	서울특별시	강북구	지역문화시설	서울특별시	PublicWiFi@Seoul	Jan-14	서울특별시 강북구 미아동 860-116	서울특별시 강북구 미아동 860-116	서울특별시	02-901-7212	37.6182361	127.0242025	2020-06-15
52	응달마을어린이공원	공원내 CCTV 시설물	서울특별시	강북구	지역문화시설	서울특별시	PublicWiFi@Seoul	Jan-14	서울특별시 강북구 미아동 860-116	서울특별시 강북구 미아동 860-116	서울특별시	02-901-7212	37.6182782	127.0241376	2020-06-15
53	솔샘어린이공원	공원내 CCTV 시설물	서울특별시	강북구	지역문화시설	서울특별시	PublicWiFi@Seoul	Jan-14	서울특별시 강북구 미아동 329-11	서울특별시 강북구 미아동 329-11	서울특별시	02-901-7212	37.6180331	127.027074	2020-06-15
54	솔샘어린이공원	공원내 CCTV 시설물	서울특별시	강북구	지역문화시설	서울특별시	PublicWiFi@Seoul	Jan-14	서울특별시 강북구 미아동 329-11	서울특별시 강북구 미아동 329-11	서울특별시	02-901-7212	37.6180913	127.026983	2020-06-15
55	수유일공원(삼각산공원)	공원내 CCTV 시설물	서울특별시	강북구	지역문화시설	서울특별시	PublicWiFi@Seoul	Jan-14	서울특별시 강북구 수유동 605-389	서울특별시 강북구 수유동 605-389	서울특별시	02-901-7212	37.6305603	127.0171597	2020-06-15
56	수유일공원(삼각산공원)	공원내 CCTV 시설물	서울특별시	강북구	지역문화시설	서울특별시	PublicWiFi@Seoul	Jan-14	서울특별시 강북구 수유동 605-389	서울특별시 강북구 수유동 605-389	서울특별시	02-901-7212	37.6306099	127.0171537	2020-06-15
57	하늘어린이공원	공원내 CCTV 시설물	서울특별시	강북구	지역문화시설	서울특별시	PublicWiFi@Seoul	Jan-14	서울특별시 강북구 미아동 791-3648	서울특별시 강북구 미아동 791-3648	서울특별시	02-901-7212	37.6242678	127.0131321	2020-06-15
58	하늘어린이공원	공원내 CCTV 시설물	서울특별시	강북구	지역문화시설	서울특별시	PublicWiFi@Seoul	Jan-14	서울특별시 강북구 미아동 791-3648	서울특별시 강북구 미아동 791-3648	서울특별시	02-901-7212	37.6243664	127.0130103	2020-06-15
59	강북북부시장	번동북부시장 경희양품 앞 천정	서울특별시	강북구	편의시설	서울특별시	PublicWiFi@Seoul	Jan-14	서울특별시 강북구 한천로123길 26	서울특별시 강북구 번동 413-3	서울특별시	02-901-7212	37.636255	127.03036	2020-06-15
60	강북북부시장	번동북부시장 오아시스식당(호프) 앞	서울특별시	강북구	편의시설	서울특별시	PublicWiFi@Seoul	Jan-14	서울특별시 강북구 한천로123길 26	서울특별시 강북구 번동 413-3	서울특별시	02-901-7212	37.636255	127.03036	2020-06-15
61	강북북부시장	번동북부시장 유일방앗간 앞 CCTV 폴	서울특별시	강북구	편의시설	서울특별시	PublicWiFi@Seoul	Jan-14	서울특별시 강북구 한천로123길 26	서울특별시 강북구 번동 413-3	서울특별시	02-901-7212	37.636255	127.03036	2020-06-15
62	흰구름어린이공원	공원내 CCTV 시설물	서울특별시	강북구	지역문화시설	서울특별시	PublicWiFi@Seoul	Jan-15	서울특별시 강북구 노해로23길 58	서울특별시 강북구 수유동 252-19	서울특별시	02-901-7212	37.6457475	127.0204344	2020-06-15
63	삼양마을공원	공원내 CCTV 시설물	서울특별시	강북구	지역문화시설	서울특별시	PublicWiFi@Seoul	Jan-15	서울특별시 강북구 삼양로47길 15	서울특별시 강북구 미아동 748-2	서울특별시	02-901-7212	37.6332141	127.0206991	2020-06-15
64	삼양마을공원	공원내 CCTV 시설물	서울특별시	강북구	지역문화시설	서울특별시	PublicWiFi@Seoul	Jan-15	서울특별시 강북구 삼양로47길 15	서울특별시 강북구 미아동 748-2	서울특별시	02-901-7212	37.6332141	127.0206991	2020-06-15
65	삼양체육과학공원	공원내 CCTV 시설물	서울특별시	강북구	지역문화시설	서울특별시	PublicWiFi@Seoul	Jan-15	서울특별시 강북구 인수봉로17길 26	서울특별시 강북구 미아동 산108-94	서울특별시	02-901-7212	37.6251007	127.0108939	2020-06-15
66	삼양체육과학공원	공원내 CCTV 시설물	서울특별시	강북구	지역문화시설	서울특별시	PublicWiFi@Seoul	Jan-15	서울특별시 강북구 인수봉로17길 26	서울특별시 강북구 미아동 산108-94	서울특별시	02-901-7212	37.6251007	127.0108939	2020-06-15
67	운산어린이공원	공원내 CCTV 시설물	서울특별시	강북구	지역문화시설	서울특별시	PublicWiFi@Seoul	Jan-15	서울특별시 강북구 미아동 165-3	서울특별시 강북구 미아동 165-3	서울특별시	02-901-7212	37.632098	127.0255954	2020-06-15
68	샛강어린이공원	공원내 CCTV 시설물	서울특별시	강북구	지역문화시설	서울특별시	PublicWiFi@Seoul	Jan-15	서울특별시 강북구 번동 472-39	서울특별시 강북구 번동 472-39	서울특별시	02-901-7212	37.6393648	127.0330089	2020-06-15
69	오현어린이공원	공원내 CCTV 시설물	서울특별시	강북구	지역문화시설	서울특별시	PublicWiFi@Seoul	Jan-15	서울특별시 강북구 한천로105길 23	서울특별시 강북구 번동 244	서울특별시	02-901-7212	37.6237112	127.0464498	2020-06-15
70	오현어린이공원	공원내 CCTV 시설물	서울특별시	강북구	지역문화시설	서울특별시	PublicWiFi@Seoul	Jan-15	서울특별시 강북구 한천로105길 23	서울특별시 강북구 번동 244	서울특별시	02-901-7212	37.6237112	127.0464498	2020-06-15
71	오패어린이공원	공원내 CCTV 시설물	서울특별시	강북구	지역문화시설	서울특별시	PublicWiFi@Seoul	Jan-15	서울특별시 강북구 미아동 258-236	서울특별시 강북구 미아동 258-236	서울특별시	02-901-7212	37.6223533	127.0323247	2020-06-15
72	우이동만남의광장	CCTV(광장위정자옆)	서울특별시	강북구	교통시설	서울특별시	PublicWiFi@Seoul	Jan-15	서울특별시 강북구 우이동 186-5	서울특별시 강북구 우이동 186-5	서울특별시	02-901-7212	37.6619509	127.0077656	2020-06-15
73	우이동만남의광장	CCTV(광장위정자옆)	서울특별시	강북구	교통시설	서울특별시	PublicWiFi@Seoul	Jan-15	서울특별시 강북구 우이동 186-5	서울특별시 강북구 우이동 186-5	서울특별시	02-901-7212	37.6619509	127.0077656	2020-06-15
74	북한산우이동등산로 입구	등산로 입구 CCTV 시설물	서울특별시	강북구	교통시설	서울특별시	PublicWiFi@Seoul	Jan-15	서울특별시 강북구 삼양로173길 66	서울특별시 강북구 우이동 181-2	서울특별시	02-901-7212	37.6624923	127.0089926	2020-06-15
75	북한산우이동등산로 입구	등산로 입구 CCTV 시설물	서울특별시	강북구	교통시설	서울특별시	PublicWiFi@Seoul	Jan-15	서울특별시 강북구 삼양로173길 66	서울특별시 강북구 우이동 181-2	서울특별시	02-901-7212	37.6624923	127.0089926	2020-06-15
76	솔샘시장	시장 입구 CCTV 시설물	서울특별시	강북구	편의시설	서울특별시	PublicWiFi@Seoul	Jan-15	서울특별시 강북구 삼양로27길 38	서울특별시 강북구 미아동 698-3	서울특별시	02-901-7212	37.6190615	127.0190036	2020-06-15
77	솔샘시장	시장 입구 CCTV 시설물	서울특별시	강북구	편의시설	서울특별시	PublicWiFi@Seoul	Jan-15	서울특별시 강북구 삼양로27길 38	서울특별시 강북구 미아동 698-3	서울특별시	02-901-7212	37.6190615	127.0190036	2020-06-15
78	인수초등학교	학교 입구 CCTV 시설물	서울특별시	강북구	교통시설	서울특별시	PublicWiFi@Seoul	Jan-15	서울특별시 강북구 인수봉로75길 10	서울특별시 강북구 수유동 551	서울특별시	02-901-7212	37.6437225	127.0100941	2020-06-15
79	인수초등학교	학교 입구 CCTV 시설물	서울특별시	강북구	교통시설	서울특별시	PublicWiFi@Seoul	Jan-15	서울특별시 강북구 인수봉로75길 10	서울특별시 강북구 수유동 551	서울특별시	02-901-7212	37.6437225	127.0100941	2020-06-15
80	우이초등학교	학교 후문 CCTV 시설물	서울특별시	강북구	교통시설	서울특별시	PublicWiFi@Seoul	Jan-15	서울특별시 강북구 삼양로99길 36	서울특별시 강북구 수유동 409-6	서울특별시	02-901-7212	37.6384676	127.0149326	2020-06-15
81	삼각산초등학교	학교 입구 CCTV 시설물	서울특별시	강북구	교통시설	서울특별시	PublicWiFi@Seoul	Jan-15	서울특별시 강북구 삼양로19길 141	서울특별시 강북구 미아동 1357-11	서울특별시	02-901-7212	37.6157187	127.015176	2020-06-15
82	삼각산초등학교	학교 입구 CCTV 시설물	서울특별시	강북구	교통시설	서울특별시	PublicWiFi@Seoul	Jan-15	서울특별시 강북구 삼양로19길 141	서울특별시 강북구 미아동 1357-11	서울특별시	02-901-7212	37.6157187	127.015176	2020-06-15
83	미양초등학교	학교 입구 CCTV 시설물	서울특별시	강북구	교통시설	서울특별시	PublicWiFi@Seoul	Jan-15	서울특별시 강북구 솔샘로 195	서울특별시 강북구 미아동 837-687	서울특별시	02-901-7212	37.6209603	127.0135981	2020-06-15
84	미양초등학교	학교 입구 CCTV 시설물	서울특별시	강북구	교통시설	서울특별시	PublicWiFi@Seoul	Jan-15	서울특별시 강북구 솔샘로 195	서울특별시 강북구 미아동 837-687	서울특별시	02-901-7212	37.6209603	127.0135981	2020-06-15
85	강북구민운동장	강북구민운동장 시설물	서울특별시	강북구	지역문화시설	서울특별시	PublicWiFi@Seoul	Jan-15	서울특별시 강북구 오현로 187-25	서울특별시 강북구 번동 317	서울특별시	02-901-7212	37.629599	127.037715	2020-06-15
86	강북구민운동장	강북구민운동장 시설물	서울특별시	강북구	지역문화시설	서울특별시	PublicWiFi@Seoul	Jan-15	서울특별시 강북구 오현로 187-25	서울특별시 강북구 번동 317	서울특별시	02-901-7212	37.629599	127.037715	2020-06-15
87	강북구민운동장	강북구민운동장 시설물	서울특별시	강북구	지역문화시설	서울특별시	PublicWiFi@Seoul	Jan-15	서울특별시 강북구 오현로 187-25	서울특별시 강북구 번동 317	서울특별시	02-901-7212	37.629599	127.037715	2020-06-15
88	벽오산어린이공원	공원내 CCTV 시설물	서울특별시	강북구	지역문화시설	서울특별시	PublicWiFi@Seoul	Jan-16	서울특별시 강북구 미아동 258-56	서울특별시 강북구 미아동 258-56	서울특별시	02-901-7212	37.64649	127.01578	2020-06-15
89	오동근린공원(율곡어린이놀이터)	공원내 CCTV 시설물	서울특별시	강북구	지역문화시설	서울특별시	PublicWiFi@Seoul	Jan-16	서울특별시 강북구 오패산로52사길 24	서울특별시 강북구 미아동 산25-13	서울특별시	02-901-7212	37.628154	127.031652	2020-06-15
90	세일어린이공원	공원내 CCTV 시설물	서울특별시	강북구	지역문화시설	서울특별시	PublicWiFi@Seoul	Jan-16	서울특별시 강북구 미아동 162-1	서울특별시 강북구 미아동 162-1	서울특별시	02-901-7212	37.633497	127.025255	2020-06-15
91	으뜸어린이공원	공원내 CCTV 시설물	서울특별시	강북구	지역문화시설	서울특별시	PublicWiFi@Seoul	Jan-16	서울특별시 강북구 미아동 309-43	서울특별시 강북구 미아동 309-43	서울특별시	02-901-7212	37.623624	127.025974	2020-06-15
92	푸른어린이공원	공원내 CCTV 시설물	서울특별시	강북구	지역문화시설	서울특별시	PublicWiFi@Seoul	Jan-16	서울특별시 강북구 수유동 516-44	서울특별시 강북구 수유동 516-44	서울특별시	02-901-7212	37.64649	127.01578	2020-06-15
93	장미원어린이공원	공원내 CCTV 시설물	서울특별시	강북구	지역문화시설	서울특별시	PublicWiFi@Seoul	Jan-16	서울특별시 강북구 수유동 276-10	서울특별시 강북구 수유동 276-10	서울특별시	02-901-7212	37.638525	127.018605	2020-06-15
94	소귀어린이공원	공원내 CCTV 시설물	서울특별시	강북구	지역문화시설	서울특별시	PublicWiFi@Seoul	Jan-16	서울특별시 강북구 수유동 25-1	서울특별시 강북구 수유동 25-1	서울특별시	02-901-7212	37.627779	127.022526	2020-06-15
95	한빛어린이공원	공원내 CCTV 시설물	서울특별시	강북구	지역문화시설	서울특별시	PublicWiFi@Seoul	Jan-16	서울특별시 강북구 미아동 222-20	서울특별시 강북구 미아동 222-20	서울특별시	02-901-7212	37.625467	127.019804	2020-06-15
96	늘푸른공원	공원내 CCTV 시설물	서울특별시	강북구	지역문화시설	서울특별시	PublicWiFi@Seoul	Jan-16	서울특별시 강북구 미아동 797-9	서울특별시 강북구 미아동 797-9	서울특별시	02-901-7212	37.625368	127.019613	2020-06-15
97	빨래골어린이공원	공원내 CCTV 시설물	서울특별시	강북구	지역문화시설	서울특별시	PublicWiFi@Seoul	Jan-17	서울특별시 강북구 수유동 475-115	서울특별시 강북구 수유동 475-115	서울특별시	02-901-7212	37.6293847	127.0060833	2020-06-15
98	보등골어린이공원	공원내 CCTV 시설물	서울특별시	강북구	지역문화시설	서울특별시	PublicWiFi@Seoul	Jan-17	서울특별시 강북구 인수동 605-209	서울특별시 강북구 인수동 605-209	서울특별시	02-901-7212	37.6350163	127.0096516	2020-06-15
99	북서울꿈의숲	안내소	서울특별시	강북구	지역문화시설	서울특별시	PublicWiFi@Seoul	Jan-14	서울특별시 강북구 월계로 173	서울특별시 강북구 번동 산28-6	서울특별시	02-901-7212	37.6203676	127.0429886	2020-06-15
100	북서울꿈의숲	미아보호소	서울특별시	강북구	지역문화시설	서울특별시	PublicWiFi@Seoul	Jan-14	서울특별시 강북구 월계로 173	서울특별시 강북구 번동 산28-6	서울특별시	02-901-7212	37.6203676	127.0429886	2020-06-15
101	북서울꿈의숲	다목적실	서울특별시	강북구	지역문화시설	서울특별시	PublicWiFi@Seoul	Jan-14	서울특별시 강북구 월계로 173	서울특별시 강북구 번동 산28-6	서울특별시	02-901-7212	37.6203676	127.0429886	2020-06-15
102	북서울꿈의숲	모유수유실	서울특별시	강북구	지역문화시설	서울특별시	PublicWiFi@Seoul	Jan-14	서울특별시 강북구 월계로 173	서울특별시 강북구 번동 산28-6	서울특별시	02-901-7212	37.6203676	127.0429886	2020-06-15
103	번동노인요양원	2층 생활실	서울특별시	강북구	기타	서울특별시	PublicWiFi@Seoul	Jan-18	서울특별시 강북구 한천로105길 24	"서울특별시 강북구 번동 241, 주공아파트 202동 2층"	서울특별시	02-901-7212	37.626216	127.046233	2020-06-15
104	미아실버데이케어센터	지하1층 식당	서울특별시	강북구	기타	서울특별시	PublicWiFi@Seoul	Jan-18	서울특별시 강북구 솔매로43길 25	서울특별시 강북구 미아동 223-18	서울특별시	02-901-7212	37.626889	127.023719	2020-06-15
105	미아실버데이케어센터	2층 생활실	서울특별시	강북구	기타	서울특별시	PublicWiFi@Seoul	Jan-18	서울특별시 강북구 솔매로43길 25	서울특별시 강북구 미아동 223-18	서울특별시	02-901-7212	37.626889	127.023719	2020-06-15
106	미아실버데이케어센터	3층 사무실	서울특별시	강북구	기타	서울특별시	PublicWiFi@Seoul	Jan-18	서울특별시 강북구 솔매로43길 25	서울특별시 강북구 미아동 223-18	서울특별시	02-901-7212	37.626889	127.023719	2020-06-15
